"","id","label","measure","CM"
"1",1,"B Lake",2,"degree"
"2",2,"R Salakhutdinov",2,"degree"
"3",3,"J Tenenbaum",31,"degree"
"4",4,"I Juvina",3,"degree"
"5",5,"C Lebiere",6,"degree"
"6",6,"C Gonzalez",3,"degree"
"7",7,"M Saleem",3,"degree"
"8",8,"C Carroll",1,"degree"
"9",9,"C Kemp",4,"degree"
"10",10,"F Vallee-Tourangeau",2,"degree"
"11",11,"S Khemlani",4,"degree"
"12",12,"G Trafton",1,"degree"
"13",13,"C Howes",3,"degree"
"14",14,"P Healey",4,"degree"
"15",15,"M Purver",3,"degree"
"16",16,"A Eshghi",3,"degree"
"17",17,"P Bilkstein",2,"degree"
"18",18,"D Markant",1,"degree"
"19",19,"T Gureckis",5,"degree"
"20",20,"C Walker",4,"degree"
"21",21,"J Williams",3,"degree"
"22",22,"T Lombrozo",3,"degree"
"23",23,"A Gopnik",14,"degree"
"24",24,"T Liu",4,"degree"
"25",25,"J Hsiao",6,"degree"
"26",26,"C Acarturk",1,"degree"
"27",27,"O Alacam",1,"degree"
"28",28,"J Koster-Hale",3,"degree"
"29",29,"J Dungan",3,"degree"
"30",30,"R Saxe",13,"degree"
"31",31,"L Young",9,"degree"
"32",32,"D Wulff",2,"degree"
"33",33,"T Hills",2,"degree"
"34",34,"R Hertwig",2,"degree"
"35",35,"P Carvalho",2,"degree"
"36",36,"R Goldstone",10,"degree"
"37",37,"J Moon",1,"degree"
"38",38,"J Anderson",1,"degree"
"39",39,"M Sato",3,"degree"
"40",40,"H Sakai",5,"degree"
"41",41,"J Wu",3,"degree"
"42",42,"B Bergen",3,"degree"
"43",43,"J Lewis",3,"degree"
"44",44,"L Maaten",2,"degree"
"45",45,"V Sa",3,"degree"
"46",46,"J Holler",5,"degree"
"47",47,"S Kelly",3,"degree"
"48",48,"P Hagoort",3,"degree"
"49",49,"A Ozyurek",3,"degree"
"50",50,"Y Kronrod",2,"degree"
"51",51,"E Coppess",2,"degree"
"52",52,"N Feldman",5,"degree"
"53",53,"S Beller",1,"degree"
"54",54,"A Bender",1,"degree"
"55",55,"P Battaglia",6,"degree"
"56",56,"T Ullman",8,"degree"
"57",57,"A Sanborn",10,"degree"
"58",58,"K Forbus",16,"degree"
"59",59,"T Gerstenberg",9,"degree"
"60",60,"D Lagnado",7,"degree"
"61",61,"B Zhang",5,"degree"
"62",62,"J Ha",2,"degree"
"63",63,"M Kang",2,"degree"
"64",64,"H Yun",3,"degree"
"65",65,"G Mauner",3,"degree"
"66",66,"D Roland",3,"degree"
"67",67,"J Koenig",3,"degree"
"68",68,"N Goodman",7,"degree"
"69",69,"T Stewart",2,"degree"
"70",70,"F Choo",2,"degree"
"71",71,"C Eliasmith",8,"degree"
