"","id","label","measure","CM"
"1",1,"L Gabora",5,"degree"
"2",2,"W Chia",2,"degree"
"3",3,"H Firouzi",2,"degree"
"4",4,"H Cornish",2,"degree"
"5",5,"K Smith",11,"degree"
"6",6,"S Kirby",12,"degree"
"7",7,"S Jalali",6,"degree"
"8",8,"C Tan",6,"degree"
"9",9,"J Lim",6,"degree"
"10",10,"J Tham",6,"degree"
"11",11,"S Ong",6,"degree"
"12",12,"P Seekings",6,"degree"
"13",13,"E Taylor",6,"degree"
"14",14,"J Horst",3,"degree"
"15",15,"K Twomey",4,"degree"
"16",16,"S Ranson",2,"degree"
"17",17,"S Khemlani",4,"degree"
"18",18,"D Gartenberg",3,"degree"
"19",19,"K Park",3,"degree"
"20",20,"J Trafton",3,"degree"
"21",21,"Y Ito",3,"degree"
"22",22,"T Ueno",4,"degree"
"23",23,"S Kitagami",4,"degree"
"24",24,"J Kawaguchi",4,"degree"
"25",25,"D Wulff",2,"degree"
"26",26,"T Hills",8,"degree"
"27",27,"R Hertwig",4,"degree"
"28",28,"A Kukona",2,"degree"
"29",29,"G Altmann",2,"degree"
"30",30,"Y Kamide",3,"degree"
"31",31,"M Sumner",3,"degree"
"32",32,"C Kurumada",10,"degree"
"33",33,"R Gafter",3,"degree"
"34",34,"M Casillas",4,"degree"
"35",35,"M Staudte",1,"degree"
"36",36,"U Pfeiffer",1,"degree"
"37",37,"G Layher",2,"degree"
"38",38,"M Giese",2,"degree"
"39",39,"H Neumann",2,"degree"
"40",40,"A Lachner",1,"degree"
"41",41,"M Nuckles",9,"degree"
"42",42,"A Coman",5,"degree"
"43",43,"G Echterhoff",5,"degree"
"44",44,"M Edelson",5,"degree"
"45",45,"W Hirst",5,"degree"
"46",46,"K Michaelian",5,"degree"
"47",47,"C Stone",5,"degree"
"48",48,"F Zanlungo",1,"degree"
"49",49,"T Kanda",1,"degree"
"50",50,"R Bottini",4,"degree"
"51",51,"C Guarino",2,"degree"
"52",52,"D Casasanto",7,"degree"
"53",53,"J Kao",2,"degree"
"54",54,"R Levy",7,"degree"
"55",55,"N Goodman",8,"degree"
"56",56,"R Lam",2,"degree"
"57",57,"L Richland",1,"degree"
"58",58,"J Richland",1,"degree"
"59",59,"M Sydow",2,"degree"
"60",60,"K Holmes",1,"degree"
"61",61,"P Wolff",2,"degree"
"62",62,"J Williams",9,"degree"
"63",63,"A Renkl",15,"degree"
"64",64,"K Koedinger",8,"degree"
"65",65,"J Stamper",3,"degree"
"66",66,"W Clair",1,"degree"
"67",67,"D Noelle",1,"degree"
"68",68,"A Utsumi",2,"degree"
"69",69,"Y Watanabe",2,"degree"
"70",70,"Y Wakayama",2,"degree"
"71",71,"M Brown",4,"degree"
"72",72,"S Bibyk",4,"degree"
"73",73,"D Pontillo",4,"degree"
"74",74,"M Tanenhaus",10,"degree"
"75",75,"M Fedyk",1,"degree"
"76",76,"B Koslowski",1,"degree"
"77",77,"M Kharratzadeh",1,"degree"
"78",78,"T Shultz",4,"degree"
"79",79,"M Saito",1,"degree"
"80",80,"T Shimazaki",1,"degree"
"81",81,"J McDonnell",5,"degree"
"82",82,"P Tsividis",2,"degree"
"83",83,"B Rehder",2,"degree"
"84",84,"V Kempe",4,"degree"
"85",85,"D Bublitz",2,"degree"
"86",86,"P Brooks",2,"degree"
"87",87,"C Vesper",3,"degree"
"88",88,"L Schmitz",3,"degree"
"89",89,"N Sebanz",7,"degree"
"90",90,"G Knoblich",7,"degree"
"91",91,"D Ahlberg",2,"degree"
"92",92,"C Dudschig",3,"degree"
"93",93,"B Kaup",3,"degree"
"94",94,"J Trueblood",4,"degree"
"95",95,"S Brown",2,"degree"
"96",96,"A Heathcote",7,"degree"
"97",97,"T Verhoef",2,"degree"
"98",98,"B Boer",2,"degree"
"99",99,"C Meier",4,"degree"
"100",100,"S Lea",4,"degree"
"101",101,"C Forrest",4,"degree"
"102",102,"K Angerer",4,"degree"
"103",103,"I McLaren",13,"degree"
"104",104,"M Sood",1,"degree"
"105",105,"R Cooper",1,"degree"
"106",106,"H Fischer",1,"degree"
"107",107,"C Gonzalez",7,"degree"
"108",108,"F Chang",3,"degree"
"109",109,"B Ambridge",2,"degree"
"110",110,"K Hamburger",4,"degree"
"111",111,"L Dienelt",3,"degree"
"112",112,"M Strickrodt",3,"degree"
"113",113,"F Roser",4,"degree"
"114",114,"Y Glady",2,"degree"
"115",115,"J Thibaut",2,"degree"
"116",116,"B French",2,"degree"
"117",117,"B Galmar",1,"degree"
"118",118,"J Hsiao",8,"degree"
